2,391485,JO Holder,14.83,128.11
2,30288,KV Sharma,19.62,123.02
2,32685,IK Pathan,22.8,124.65
2,32102,NV Ojha,20.81,117.6
2,446499,UBT Chand,21.72,114.91
2,10772,PD Collingwood,21.54,121.47
2,5702,JR Hopes,22.58,124.09
2,49638,MF Maharoof,17.88,117.91
2,26907,R Bhatia,22.09,118.08
2,489889,PJ Cummins,13.31,122.59
2,261354,NM Coulter-Nile,13.9,125.6
2,26184,AB Agarkar,14.3,125.43
2,38710,DL Vettori,16.01,119.65
2,390484,JD Unadkat,15.05,127.36
2,265564,WD Parnell,19.28,121.45
2,44149,J Botha,19.41,113.15
2,27223,STR Binny,19.04,124.74
2,371150,AL Menaria,17.8,114.54
2,270484,JP Faulkner,22.01,122.56
2,36071,DH Yagnik,18.91,116.96
2,211854,RJ Quiney,18.47,121.97
2,16932,AD Mascarenhas,19.09,127.32
2,344580,S Gopal,17,115.03
2,324444,AG Paunikar,20.04,111.96
2,32091,AM Nayar,21.51,123.77
2,43265,Sohail Tanvir,16.61,120.74
2,391121,Kamran Khan,22,122.22
2,272262,KW Richardson,13.41,117.52
2,31738,VS Malik,12.6,113.17
2,337913,AA Chavan,17.11,128.33
2,5605,SM Harwood,16.83,132.89
2,33870,R Sathish,19,128.92
2,319439,MJ McClenaghan,6.67,121.76
2,46393,R McLaren,22.68,118.03
2,477049,S Kanwar,22.26,125.51
2,228430,AN Ahmed,9.73,125
2,35731,R Vinay Kumar,15.1,125.62
2,527663,J Suchith,11.33,115.9
2,8002,DJ Thornely,21.02,117.87
2,30732,P Kumar,12.26,115.65
2,393279,M de Lange,11.35,133.61
2,432783,Sachin Baby,21.23,130.42
2,33757,S Rana,22.55,111.41
2,719715,Washington Sundar,20.3,122.79
2,288992,CJ Jordan,16.89,120.14
2,269170,KP Appanna,13,130
2,310958,A Mithun,5.41,119.48
2,44938,D du Preez,20.05,130.65
2,56143,Shakib Al Hasan,20.71,122.25
2,34019,LR Shukla,20.7,120.63
2,32966,PP Chawla,14.38,121.92
2,6278,B Lee,13.86,131.23
2,5560,BJ Haddin,22.39,126.22
