2,32093,C Nanda,18,23.44
2,8291,CL White,26,27.23
2,26206,B Akhil,24,26.58
2,33757,S Rana,20,20.15
2,719715,Washington Sundar,33,22.63
2,35261,J Syed Mohammad,37,28
2,269170,KP Appanna,21,25.23
2,279562,P Parameswaran,33,27.66
2,28779,SC Ganguly,29,26.06
2,42655,Shoaib Akhtar,44,22.22
2,325012,MP Stoinis,43,29.55
2,34245,SJ Srivastava,20,32.65
2,391128,Harmeet Singh,27,28.62
2,35281,VRV Singh,31,28.58
2,537126,BB Sran,40,25.85
2,5583,DJ Harris,21,24.61
2,27225,SB Bangar,31,22.87
2,272450,MR Marsh,42,26.59
2,51050,DNT Zoysa,21,17.9
2,230553,KAJ Roach,28,43.89
2,34139,TP Sudhindra,35,20.48
2,853259,NB Singh,23,14.47
2,38373,JD Ryder,33,36.36
2,431876,K Upadhyay,20,27.25
2,378496,Parvez Rasool,36,31.02
2,279862,SS Mundhe,29,25.68
2,493773,LH Ferguson,33,29.48
2,528067,M Ashwin,35,23.51
2,446548,SM Boland,36,25.22
2,277906,KS Williamson,30,29.5
2,452044,GH Vihari,21,20.9
2,430125,BB Samantray,22,32.27
2,942645,KK Ahmed,20,19
2,849737,Kanishk Seth,18,17.94
2,351588,Mark Wood,25,24.6
2,232359,Colin Munro,21,35.23
2,447587,Jayant Yadav,20,34.75
2,736413,Sayan Ghosh,27,19.29
2,679567,Ben Dwarshuis,29,24.75
2,230554,Javon Searles,26,24.03
2,552152,Dushmantha Chameera,37,30.43
2,34349,Jatin Saxena,19,16.1
2,447587,J Yadav,20,34.75
2,6938,AA Noffke,38,20.76
2,5472,B Geeves,19,24.26
2,46569,A Nel,37,37.67
2,55988,Mohammad Ashraful,23,19.3
2,28764,C Ganapathy,33,16.09
2,26236,L Ablish,36,13.86
2,45705,CA Ingram,37,32.27
2,528985,DJ Muthuswami,32,20.9
2,499660,GS Sandhu,32,30.34
2,232359,C Munro,21,35.23
2,232292,Swapnil Singh,35,23.6
3,28081,MS Dhoni,0,0
3,5939,MEK Hussey,0,0
3,237095,M Vijay,0,0
3,5616,ML Hayden,0,0
3,37737,BB McCullum,0,0
3,33141,AT Rayudu,0,0
3,32242,PA Patel,0,0
3,37000,SP Fleming,0,0
3,26798,S Anirudha,0,0
3,279810,WP Saha,0,0
3,297628,SW Billings,0,0
3,4451,GJ Bailey,0,0
3,590327,DR Shorey,0,0
3,219889,DA Warner,0,0
3,931581,RR Pant,0,0
3,642519,SS Iyer,0,0
3,28763,G Gambhir,0,0
3,30045,KD Karthik,1,10
3,379143,Q de Kock,0,0
3,425943,SV Samson,1,4
3,44936,AB de Villiers,0,0
3,32102,NV Ojha,0,0
3,398438,MA Agarwal,0,0
3,446499,UBT Chand,0,0
3,1070168,PP Shaw,0,0
3,7547,BJ Rohrer,0,0
3,390480,MC Juneja,0,0
3,35390,SS Tiwary,0,0
3,277916,AM Rahane,1,5
3,28114,R Dravid,0,0
3,308967,JC Buttler,0,0
3,26782,SA Asnodkar,0,0
3,29990,M Kaif,0,0
3,36071,DH Yagnik,0,0
3,41028,Kamran Akmal,0,0
3,28160,P Dogra,0,0
3,211854,RJ Quiney,0,0
3,302579,SP Goswami,0,0
3,436757,H Klaasen,0,0
3,33440,M Rawat,0,0
3,324444,AG Paunikar,0,0
3,431901,E Lewis,0,0
3,333904,AP Tare,0,0
3,35582,RV Uthappa,0,0
3,720471,Ishan Kishan,0,0
3,4498,AC Blizzard,0,0
3,302208,CM Gautam,0,0
3,45782,DJ Jacobs,0,0
3,35357,YV Takawale,0,0
3,34282,PR Shah,0,0
3,46148,RE Levi,0,0
3,45224,HH Gibbs,0,0
3,477049,S Kanwar,0,0
3,226492,MJ Guptill,0,0
3,422108,KL Rahul,0,0
3,44111,MV Boucher,0,0
3,642525,SN Khan,0,0
3,32540,CA Pujara,0,0
3,29646,W Jaffer,0,0
3,41378,Misbah-ul-Haq,0,0
3,27280,MS Bisla,0,0
3,24598,EJG Morgan,0,0
3,328163,DB Das,0,0
3,1070173,Shubman Gill,0,0
3,47711,MN van Wyk,0,0
3,5560,BJ Haddin,0,0
3,27639,A Chopra,0,0
3,237696,SP Jackson,0,0
3,6683,SE Marsh,0,0
3,321777,DA Miller,0,0
3,532856,M Vohra,0,0
3,50710,KC Sangakkara,0,0
3,5390,AC Gilchrist,1,0
3,43906,HM Amla,0,0
3,232284,LA Pomersbach,0,0
3,6128,SM Katich,0,0
3,274785,N Saini,0,0
3,228943,S Sohal,0,0
3,52969,RR Sarwan,2,11
3,30750,VVS Laxman,0,0
3,31028,MD Mishra,0,0
3,376109,PA Reddy,0,0
3,26946,AA Bilakhia,0,0
3,26252,Anirudh Singh,0,0
3,36110,AS Yadav,0,0
3,253798,B Sumanth,0,0
3,340841,ER Dwivedi,0,0
3,1079668,SS Agarwal,10,13.1
3,1082859,Tejas Baroka,0,0
3,6161,M Klinger,0,0
3,5236,CJ Ferguson,0,0
3,31750,AP Majumdar,1,14
3,7252,TD Paine,0,0
3,262533,UA Birla,0,0
3,215155,UT Khawaja,0,0
3,334337,PSP Handscomb,0,0
3,249866,AD Hales,0,0
3,319744,X Thalaivan Sargunam,0,0
3,1048813,Narayan Jagadeesan,0,0
3,1070183,Abhishek Sharma,0,0
3,505773,Apoorv Wankhade,0,0
3,726989,Sharad Lumba,0,0
3,500135,Prashant Chopra,0,0
3,420644,Aniruddha Joshi,6,12.33
3,792725,Tanmay Agarwal,0,0
3,642531,Ricky Bhui,0,0
3,732293,Vishnu Vinod,0,0
3,277472,DM Bravo,0,0
3,7502,L Ronchi,0,0
3,51469,S Chanderpaul,0,0
3,35401,TM Srivastava,0,0
3,32389,DT Patil,0,0
3,55805,T Taibu,0,0
3,26291,J Arunkumar,0,0
3,30235,U Kaul,0,0
3,236810,H Das,0,0
3,302582,A Mukund,11,9.18
3,236766,R Bishnoi,0,0
3,220435,AN Ghosh,0,0
3,279460,RA Shaikh,0,0
3,6513,DR Martyn,0,0
3,274926,AB Barath,0,0
3,31104,C Madan,0,0
3,430401,AUK Pathan,0,0
3,35282,Sunny Singh,0,0
3,230193,MS Wade,0,0
3,4292,TR Birt,0,0
3,300631,MDKJ Perera,0,0
3,333780,NJ Maddinson,0,0
3,318845,RR Rossouw,1,13
3,554699,VH Zol,0,0
3,554700,NS Naik,0,0
4,53118,DR Smith,105,28.18
4,234675,RA Jadeja,135,31.42
4,317293,MS Gony,91,24.87
4,4508,DE Bollinger,139,25.47
4,537119,MM Sharma,109,28
4,49535,KMDN Kulasekara,125,22.94
4,26829,L Balaji,126,22.19
4,5941,BW Hilfenhaus,117,22.2
4,38407,SB Styris,125,29.09
4,30288,KV Sharma,101,24.58
4,228622,JW Hastings,116,24.7
4,10772,PD Collingwood,99,22.67
4,49638,MF Maharoof,94,23.54
4,457249,CR Brathwaite,121,26.06
4,26907,R Bhatia,105,27.45
4,376116,UT Yadav,137,27
4,30102,Z Khan,139,27.35
4,261354,NM Coulter-Nile,110,22.63
4,277912,TA Boult,98,27.05
4,38710,DL Vettori,131,26.13
4,390484,JD Unadkat,134,22.79
4,326017,S Kaul,94,23.68
4,227712,AB Dinda,132,26.06
4,32498,YK Pathan,96,28.78
4,277955,DS Kulkarni,123,25
4,35353,SK Trivedi,103,26.13
4,32965,MM Patel,101,24.25
4,5681,GB Hogg,140,24.75
4,559066,IS Sodhi,131,23.58
4,37004,JEC Franklin,111,30.9
