4,127,17.44,5,28.73,128.65,4,31.68,133.91,2,0
4,132,26.06,5,28.73,128.65,4,31.68,133.91,4,0
5,74,27.7,5,28.73,128.65,4,31.68,133.91,10,0
4,132,26.06,5,28.73,128.65,4,31.68,133.91,16,0
4,137,24.96,5,28.73,128.65,4,31.68,133.91,8,0
4,127,17.44,5,28.73,128.65,4,31.68,133.91,12,0
5,74,27.7,5,28.73,128.65,5,37.73,121.8,3,1
5,79,30.21,5,37.73,121.8,4,31.68,133.91,4,0
4,137,24.96,5,37.73,121.8,4,31.68,133.91,18,0
5,79,30.21,5,37.73,121.8,4,31.68,133.91,10,0
4,132,26.06,5,37.73,121.8,4,31.68,133.91,18,0
7,150,22.83,5,37.73,121.8,5,25.88,129.01,3,1
4,137,24.96,5,37.73,121.8,5,25.88,129.01,6,0
7,150,22.83,5,37.73,121.8,5,25.88,129.01,20,1
5,74,27.7,5,25.63,120.48,4,23.77,136.28,2,1
7,150,22.83,5,29.34,121.62,5,37.73,121.8,3,1
4,137,24.96,5,29.34,121.62,5,37.73,121.8,7,0
4,127,17.44,5,29.34,121.62,5,37.73,121.8,9,0
5,74,27.7,5,29.34,121.62,5,37.73,121.8,15,0
4,127,17.44,5,29.34,121.62,5,37.73,121.8,11,0
2,20,34.75,4,40.3,148.29,4,40.75,133.33,2,0
4,139,27.35,4,40.3,148.29,4,40.3,148.29,0,0
4,96,28.78,5,37.45,124.9,5,24.27,130.21,6,0
5,68,26.6,5,37.45,124.9,5,37.45,124.9,5,0
4,126,22.19,5,37.45,124.9,5,37.45,124.9,14,0
5,68,26.6,5,24.27,130.21,5,24.27,130.21,14,0
1,342,19.83,5,37.45,124.9,5,37.45,124.9,9,0
4,114,30.54,5,37.45,124.9,5,24.27,130.21,18,0
4,105,27.45,5,37.45,124.9,5,24.27,130.21,5,0
4,114,30.54,5,37.45,124.9,5,24.27,130.21,14,0
4,105,27.45,5,37.45,124.9,5,24.27,130.21,10,0
